sep=,
ARGMRRK1187FB5BE1F,Not available,37.157,-63.933,Dean Elliott And His Big Band,0.321,0.420,,0.000,SOCSFMW12AB01826F2,ARA96D21187B989E9F,-10.727,exotica,150.334,0.001,0.558,0.957,0.084,0.374,0.000,0.635,0,0.565,145.328,0.086,0.084,120.172,0.977,4.000,0.719,0.655,394187,Ultra-Lounge / Space-Capades  Volume Three,Lonesome Road (1995 Digital Remaster),0
ARHRY5S1187B99B96F,Alabama,32.614,-86.681,Static-X,0.561,0.768,industrial metal,2.000,SONELOT12A6701F519,ARYD9VP1187B9ADCC2,-3.294,industrial metal,189.100,0.320,1.560,0.000,0.557,0.000,5.000,0.470,0,0.529,186.520,0.419,0.306,120.539,1.000,4.000,1.000,0.625,12607,Start A War,Night Terrors (Album Version),2005
AR77FBJ1187FB49D8D,"Detroit, MI",42.332,-83.048,The Rance Allen Group,0.314,0.488,,0.000,SOVPFPD12A8C13921A,ARSA3561187FB58C37,-4.152,jazz funk,337.162,0.024,0.859,1.000,0.302,0.253,0.000,0.764,1,0.572,327.959,1.000,0.302,105.994,0.899,4.000,1.000,0.366,103872,All the Way,Do Your Will (Album Version),0
AREB22L1187B9A4BCE,Not available,37.157,-63.933,Bad Azz,0.341,0.552,,0.000,SOZBDWA12A6D4F7777,ARLMHFV1187B9A3833,-5.345,gangster rap,237.792,0.197,0.257,0.904,0.257,2.252,5.000,0.228,0,0.371,229.616,0.000,0.257,120.716,1.000,3.000,1.000,0.266,22455,Personal Business (Explicit),When You See Me,0
ARBB58Y1187B9B621B,Not available,37.157,-63.933,Bill & Gloria Gaither,0.333,0.427,,0.000,SOBUPHJ12A58A7C7F8,ARPY3PZ1187FB45623,-14.492,country gospel,290.063,0.461,1.253,0.599,0.451,0.377,2.000,0.711,1,0.303,281.304,0.599,0.451,152.606,1.000,3.000,0.717,0.274,64628,Jerusalem Homecoming,I Walked Today Where Jesus Walked,0
ARD2NDU1187B99B615,"Boston, MA",37.157,-63.933,Dropkick Murphys,0.568,0.793,folk punk,2.000,SOVRPJN12A8C1399AE,ARP6IJB1187B9B14DE,-5.232,celtic punk,158.641,0.542,1.033,0.812,0.381,0.000,3.000,0.056,1,0.343,153.815,0.193,0.217,183.684,0.947,4.000,0.000,0.366,204289,The Gang's All Here,Amazing Grace (Album Version),1999
AR0S7TA1187FB4D024,Not available,37.157,-63.933,Christina Aguilera,0.726,0.831,pop and chart,1.000,SOFJOVY12A8AE45ABB,AR03BDP1187FB5B324,-5.426,dance pop,229.538,0.225,0.097,0.000,0.097,0.000,5.000,0.264,1,0.384,221.431,0.427,0.097,139.629,1.000,5.000,0.684,0.662,279403,Christina Aguilera/Stripped,Cruz,2002
AR87K371187FB5AA8E,"London, England",37.157,-63.933,Uriah Heep,0.479,0.673,british,5.000,SOCYVUM12AB01822C0,ARA9UZY1187B99A684,-7.977,heavy metal,243.983,0.150,4.052,0.582,3.197,5.445,2.000,0.581,1,0.490,227.753,0.057,2.992,141.118,0.988,4.000,0.456,0.300,346279,Easy Livin' - The Singles A's & B's,Son Of A Bitch,2006
ARRXG5Y1187B9AA016,ABD,37.157,-63.933,G-Unit,0.534,0.845,hip hop rnb and dance hall,1.000,SOLYAYO12A8C13C04D,ARHCGRF11F50C4F738,-5.958,rap,274.782,0.107,0.235,0.905,0.235,0.113,4.000,0.463,1,0.401,260.777,1.000,0.235,92.998,1.000,5.000,0.998,0.228,266372,T.O.S. (Terminate On Sight),I Don't Want To Talk About It,0
ARN5NHX1187FB4F755,"Chicago, IL",41.884,-87.632,The Smashing Pumpkins,0.647,0.888,alternative rock,2.000,SOMOUQV12A6701CD7B,AR8RC0V1187FB390D9,-4.673,alternative rock,249.626,0.021,0.632,0.783,0.243,0.160,2.000,0.412,1,0.418,234.365,0.499,0.243,152.999,1.000,4.000,1.000,0.668,10172,Rotten Apples_ The Smashing Pumpkins Greatest Hits,Real Love,2000
AR8TLVX1187B9B2D7D,Sweden,37.157,-63.933,Mithotyn,0.361,0.548,,0.000,SOWAJLH12AB017C2EC,ARVHKZX1187B9B1F7C,-3.944,viking metal,313.364,0.375,0.708,0.637,0.708,0.282,2.000,0.569,0,0.506,310.340,1.000,0.345,88.336,0.999,4.000,0.312,0.482,619765,King of the Distant Forest,On Misty Pathways,1998
ARGNQED1241B9C4237,Not available,37.157,-63.933,Youves,0.275,0.521,,0.000,SOZOTQZ12AB0187D9A,ARJSR5T11C8A415FC5,-6.885,dance-punk,100.205,0.426,0.462,0.911,0.462,0.000,1.000,0.434,1,0.335,100.205,0.996,0.240,134.104,1.000,4.000,0.000,0.383,456141,Cardio-Vascular,Another Djemba Djemba,0
ARP7AOI1187FB518B4,Not available,37.157,-63.933,MAom,0.467,0.714,icelandic,3.000,SOLYLZD12A6D4FB2F5,ARYW56S1187FB5C76F,-15.775,glitch,249.051,0.028,2.555,0.249,1.921,2.264,1.000,0.704,0,0.858,231.329,0.095,1.441,95.576,0.809,4.000,0.453,0.774,279564,Nightly Cares,Nightly Cares,2004
AR8W8DN1187FB35ED0,"El Paso, TX",31.759,-106.487,The Germs,0.404,0.461,los angeles,1.000,SONVCGW12A81C23489,ARNFTGS1187B9A465F,-8.889,rock,111.490,0.032,0.142,0.713,0.142,0.148,9.000,0.396,1,0.312,111.490,0.589,0.142,115.763,1.000,4.000,0.000,0.376,132829,M.I.A.: The Complete Germs,Going Down,1993
AR00LNI1187FB444A5,Not available,37.157,-63.933,Bruce BecVar,0.340,0.471,,0.000,SOIKAUS12AB018AD93,AR0F54F1187FB44536,-14.374,meditation,257.933,0.017,1.192,0.811,0.748,0.537,9.000,0.542,1,0.607,247.391,0.366,0.526,135.929,0.987,4.000,0.587,0.229,517848,River of Gold,Your Heart Can Sing,0
ARFCOGY1187FB454B4,"Detroit, MI",37.157,-63.933,The Winans,0.344,0.482,,0.000,SOUHUDD12A58A7C591,ARSA3561187FB58C37,-8.705,ccm,300.591,0.007,0.173,0.931,0.173,0.316,8.000,0.476,1,0.581,279.237,0.685,0.173,135.909,1.000,4.000,0.526,0.249,343272,Return,Together We Stand (Album Version),0
ARW6LIW1187B9966CD,"Kansas City, MO",39.103,-94.583,JERRY WALLACE,0.317,0.428,,0.000,SOEAYQZ12AB0186BB1,AR0X3JJ1187FB3A9A7,-14.794,doo-wop,180.506,0.108,0.683,0.547,0.127,0.259,9.000,0.392,0,0.453,173.697,0.547,0.127,219.298,1.000,4.000,0.451,0.254,453776,Jerry Wallace's King Of The Mountain,You'll Never Know,0
ARWADDH1187B98FDBB,"Los Angeles, California",34.053,-118.245,Home Town Hero,0.355,0.501,,0.000,SOIXCUV12AB017F48C,AREPHJU1187B98F3A9,-3.798,post-grunge,206.889,0.195,0.967,0.576,0.226,0.000,8.000,0.807,1,0.702,200.812,0.516,0.042,161.991,1.000,4.000,0.000,0.254,542446,Home Town Hero,Twelve Ounce (Album Version),2002
ARF1E421187B9AF8C4,Not available,37.157,-63.933,El Gran Silencio,0.375,0.640,,0.000,SOBWYOK12A6D4F9314,AR5U53D1187FB37654,-6.195,cumbia,300.094,0.013,0.655,1.000,0.238,0.178,7.000,0.156,1,0.665,294.116,1.000,0.238,143.947,0.978,4.000,0.793,0.254,35114,Super Riddim Internacional Volumen 1,Ayer,0
AREBWEH1187B99EA9A,Helsinki,37.157,-63.933,Beherit,0.427,0.596,finnish,1.000,SOYEWDH12AAF3B45CE,ART5OVS1187B9B0851,-13.213,illbient,185.051,0.288,1.088,0.500,0.661,0.363,8.000,0.269,1,0.269,181.714,0.525,0.448,141.621,0.922,4.000,0.905,0.549,480803,Drawing Down the Moon,Werewolf_ Semen And Blood,1993
ARQ30G91187B9B8C12,Not available,37.157,-63.933,Steinski,0.405,0.545,,0.000,SOUDAHM12A58A7B19A,ARZQ2HL1187FB4695A,-12.738,hip hop,169.978,0.040,0.041,0.098,0.041,0.000,10.000,0.533,0,0.547,169.978,1.000,0.041,185.325,1.000,4.000,0.590,0.433,534612,What Does It All Mean? - 1983-2006 Retrospective,Hot Spot (Terrible Love Mix),2003
AR8V1WA1187B9AD9E9,Nashville / Los Angeles,42.332,-83.048,The White Stripes,0.654,0.879,indie rock,2.000,SOPRMDL12A8C13CAF6,AR6NYHH1187B9BA128,-8.686,blues-rock,259.552,0.608,0.942,0.809,0.237,0.194,2.000,0.018,1,0.352,246.451,0.759,0.237,85.159,0.939,4.000,0.000,0.845,105985,Icky Thump,A Martyr For My Love For You,2007
ARG274E1187FB4BCA8,Not available,37.157,-63.933,Russ Taff,0.362,0.483,,0.000,SOCUVGH12A6D4FA234,ARI8XJU1187FB57139,-9.412,ccm,158.720,0.089,0.997,0.956,0.229,0.166,2.000,0.901,1,0.686,149.043,0.956,0.229,146.622,1.000,4.000,1.000,0.532,62116,Now More than Ever,Jesus Loves Me (Now More Than Ever),0
ARYQQY31187B9ABBE1,Not available,37.157,-63.933,BerrogA1/4etto,0.387,0.555,country-es,1.000,SOCPUJD12AC468AD40,ARHBYTA1187FB3C812,-17.876,gaita,115.173,0.166,1.728,0.580,0.049,0.000,2.000,0.759,1,0.718,109.453,0.571,0.049,105.101,0.901,5.000,0.971,0.267,791247,Viaxe Por Urticaria,Lusco,0
ARIF3EV1187B9B8522,Wyoming,43.000,-107.554,Paul Taylor,0.429,0.665,,0.000,SOWRPTG12AAF3B1C29,ARZB3YT1187B9912DD,-6.514,smooth jazz,266.997,0.164,1.016,0.377,0.067,0.357,5.000,0.247,1,0.206,261.462,0.264,0.067,126.649,1.000,5.000,0.790,0.271,323477,Hypnotic,Dream State,0
ARF1Q9B1187B9ADCC7,"Orange County, CA",33.667,-117.765,Lit,0.492,0.760,,0.000,SORRGXW12A8C139847,AR57HKP1187FB5BF75,-3.930,post-grunge,246.804,0.033,1.210,0.338,0.304,0.000,10.000,0.573,1,0.463,231.631,0.488,0.077,135.021,1.000,4.000,0.365,0.721,295538,A Place In The Sun,Lovely Day,1999
ARA1UU51187FB5A70B,New Jersey,37.157,-63.933,The Misfits,0.551,0.854,horror punk,2.000,SONRWFT12A6D4F983A,AR050VJ1187B9B13A7,-5.128,horror punk,181.211,0.139,0.426,0.000,0.426,1.164,10.000,0.363,0,0.411,170.916,0.218,0.159,111.153,0.921,4.000,0.000,0.775,47597,American Psycho,Dig Up Her Bones,1997
ARFK4281187FB5C811,Not available,37.157,-63.933,Vox Dei,0.354,0.491,,0.000,SONFUJU12A8C136ED9,ARV4TAT1187FB3BDE8,-18.342,new wave,456.698,0.137,0.512,0.697,0.512,0.410,7.000,0.406,1,0.565,439.014,0.169,0.215,66.856,1.000,4.000,0.000,0.443,98680,La Biblia,Profecias,1971
ARMG6K31187FB55677,Not available,37.157,-63.933,Deekline & Wizard,0.000,0.332,,0.000,SOJDGAU12AB0181EB5,AR476VS1187B99F2F5,-5.563,breakbeat,325.929,0.009,0.874,0.840,0.424,0.000,4.000,0.615,0,0.465,315.176,0.432,0.200,133.987,1.000,4.000,0.000,0.300,648389,Back Up_ Coming Through Remixed,Baila Baila  Vent Remix,0
AR72Q9R1187B98A664,Not available,37.157,-63.933,Hatiras & Slarta John,0.381,0.154,toronto,1.000,SOIKYFC12A6D4F9864,ARZ4G2N1187FB4802B,-5.378,tech house,383.582,0.007,0.766,1.000,0.293,0.271,10.000,0.891,0,0.704,376.163,1.000,0.058,128.022,0.935,4.000,0.000,0.257,323213,Spaced Invader,Spaced Invader (Ian Pooley Club Mix),2000
