,artist.hotness,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotness,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
797,0.321208121,ARGMRRK1187FB5BE1F,Dean Elliott And His Big Band,,0.0,0.001,0.55791,0.9570000000000001,0.08434,150.33424,0.374,0.420421925,0.0,0.635,37.15735675013362,Not available,-63.93335786851952,-10.727,0,0.565,394187,Ultra-Lounge / Space-Capades  Volume Three,ARA96D21187B989E9F,0.654800662,SOCSFMW12AB01826F2,145.328,0.086,0.08434,120.17200000000001,exotica,0.9768729490000001,4.0,0.7190000000000001,Lonesome Road (1995 Digital Remaster),0
7745,0.560819769,ARHRY5S1187B99B96F,Static-X,industrial metal,2.0,0.32,1.56041,0.0,0.5567300000000001,189.09995,0.0,0.768004235,5.0,0.47,32.61436,Alabama,-86.68073000000001,-3.2939999999999996,0,0.529,12607,Start A War,ARYD9VP1187B9ADCC2,0.624953367,SONELOT12A6701F519,186.52,0.419,0.30643000000000004,120.539,industrial metal,1.0,4.0,1.0,Night Terrors (Album Version),2005
4999,0.31401179,AR77FBJ1187FB49D8D,The Rance Allen Group,,0.0,0.024,0.8586,1.0,0.30201999999999996,337.162,0.253,0.48800888200000003,0.0,0.764,42.33168,"Detroit, MI",-83.04791999999999,-4.152,1,0.5720000000000001,103872,All the Way,ARSA3561187FB58C37,0.36560316299999995,SOVPFPD12A8C13921A,327.959,1.0,0.30201999999999996,105.994,jazz funk,0.898604153,4.0,1.0,Do Your Will (Album Version),0
2798,0.341376268,AREB22L1187B9A4BCE,Bad Azz,,0.0,0.19699999999999998,0.25745999999999997,0.904,0.25745999999999997,237.7922,2.252,0.552053803,5.0,0.228,37.15735675013362,Not available,-63.93335786851952,-5.345,0,0.371,22455,Personal Business (Explicit),ARLMHFV1187B9A3833,0.26586104899999996,SOZBDWA12A6D4F7777,229.61599999999999,0.0,0.25745999999999997,120.71600000000001,gangster rap,1.0,3.0,1.0,When You See Me,0
8218,0.333303418,ARBB58Y1187B9B621B,Bill & Gloria Gaither,,0.0,0.461,1.25263,0.599,0.45143999999999995,290.06322,0.377,0.426882762,2.0,0.711,37.15735675013362,Not available,-63.93335786851952,-14.492,1,0.303,64628,Jerusalem Homecoming,ARPY3PZ1187FB45623,0.274458635,SOBUPHJ12A58A7C7F8,281.30400000000003,0.599,0.45143999999999995,152.606,country gospel,1.0,3.0,0.7170000000000001,I Walked Today Where Jesus Walked,0
7573,0.568491815,ARD2NDU1187B99B615,Dropkick Murphys,folk punk,2.0,0.542,1.0331700000000001,0.812,0.38098000000000004,158.64118,0.0,0.79309437,3.0,0.055999999999999994,37.15735675013362,"Boston, MA",-63.93335786851952,-5.232,1,0.34299999999999997,204289,The Gang's All Here,ARP6IJB1187B9B14DE,0.36597993,SOVRPJN12A8C1399AE,153.815,0.193,0.2167,183.68400000000003,celtic punk,0.947278167,4.0,0.0,Amazing Grace (Album Version),1999
8736,0.725746082,AR0S7TA1187FB4D024,Christina Aguilera,pop and chart,1.0,0.225,0.09673999999999999,0.0,0.09673999999999999,229.53751,0.0,0.831240277,5.0,0.264,37.15735675013362,Not available,-63.93335786851952,-5.426,1,0.384,279403,Christina Aguilera/Stripped,AR03BDP1187FB5B324,0.6616481820000001,SOFJOVY12A8AE45ABB,221.43099999999998,0.42700000000000005,0.09673999999999999,139.629,dance pop,1.0,5.0,0.684,Cruz,2002
6317,0.47920455799999995,AR87K371187FB5AA8E,Uriah Heep,british,5.0,0.15,4.051819999999999,0.5820000000000001,3.1970400000000003,243.98322000000002,5.445,0.6732386909999999,2.0,0.581,37.15735675013362,"London, England",-63.93335786851952,-7.977,1,0.49,346279,Easy Livin' - The Singles A's & B's,ARA9UZY1187B99A684,0.299877488,SOCYVUM12AB01822C0,227.753,0.057,2.99158,141.118,heavy metal,0.9880334909999999,4.0,0.456,Son Of A Bitch,2006
1603,0.534429714,ARRXG5Y1187B9AA016,G-Unit,hip hop rnb and dance hall,1.0,0.107,0.23533,0.905,0.23533,274.78159,0.113,0.8453733040000001,4.0,0.46299999999999997,37.15735675013362,ABD,-63.93335786851952,-5.957999999999999,1,0.401,266372,T.O.S. (Terminate On Sight),ARHCGRF11F50C4F738,0.22847373,SOLYAYO12A8C13C04D,260.777,1.0,0.23533,92.99799999999999,rap,1.0,5.0,0.998,I Don't Want To Talk About It,0
5520,0.647224724,ARN5NHX1187FB4F755,The Smashing Pumpkins,alternative rock,2.0,0.021,0.63153,0.7829999999999999,0.24329,249.62567,0.16,0.88792045,2.0,0.41200000000000003,41.88415,"Chicago, IL",-87.63241,-4.673,1,0.418,10172,Rotten Apples_ The Smashing Pumpkins Greatest Hits,AR8RC0V1187FB390D9,0.668419369,SOMOUQV12A6701CD7B,234.365,0.499,0.24329,152.999,alternative rock,0.9999756470000001,4.0,1.0,Real Love,2000
6172,0.36110593799999996,AR8TLVX1187B9B2D7D,Mithotyn,,0.0,0.375,0.70829,0.637,0.70829,313.36444,0.282,0.548185196,2.0,0.569,37.15735675013362,Sweden,-63.93335786851952,-3.944,0,0.506,619765,King of the Distant Forest,ARVHKZX1187B9B1F7C,0.482137585,SOWAJLH12AB017C2EC,310.34,1.0,0.34544,88.336,viking metal,0.999042667,4.0,0.312,On Misty Pathways,1998
2786,0.274816276,ARGNQED1241B9C4237,Youves,,0.0,0.426,0.46225,0.9109999999999999,0.46225,100.20526,0.0,0.520530444,1.0,0.434,37.15735675013362,Not available,-63.93335786851952,-6.885,1,0.335,456141,Cardio-Vascular,ARJSR5T11C8A415FC5,0.38293509,SOZOTQZ12AB0187D9A,100.205,0.996,0.23985,134.10399999999998,dance-punk,1.0,4.0,0.0,Another Djemba Djemba,0
2626,0.466991272,ARP7AOI1187FB518B4,MAom,icelandic,3.0,0.027999999999999997,2.55475,0.249,1.9206900000000002,249.05097999999998,2.2640000000000002,0.7139458809999999,1.0,0.7040000000000001,37.15735675013362,Not available,-63.93335786851952,-15.775,0,0.858,279564,Nightly Cares,ARYW56S1187FB5C76F,0.774004274,SOLYLZD12A6D4FB2F5,231.329,0.095,1.4406299999999999,95.57600000000001,glitch,0.8093019779999999,4.0,0.45299999999999996,Nightly Cares,2004
